0000,(0.4402986147919892, 0.5024845531584121),(0.4398831734669262, 0.5068936442189114),(0.43985969653318735, 0.506883024128749),(0.4394459986963053, 0.5112949537357472)
0008,(0.35841837179630476, 0.501123308868578),(0.3577937240911875, 0.505172725772137),(0.3572640573060606, 0.5036048371030286),(0.3566406099653663, 0.5076530179026244)
0016,(3.2379892555860277, 3.499580373741411),(3.292763147914238, 3.5223140312792225),(0.22755109882002422, 0.5016138641711376),(0.22674333807531566, 0.5050224237879299)
0024,(0.20831966020819337, 0.526496390781827),(0.2076113015052723, 0.5298997661421074),(0.2077894787589063, 0.5293568909716477),(0.20709465510096248, 0.5327684574151239)
0032,(3.2379892555860277, 3.499580373741411),(3.292763147914238, 3.5223140312792225),(0.20382015647123497, 0.7115249745688361),(0.2043039936890021, 0.7153568014818412)
0040,(0.20301814225807746, 0.816402542853222),(0.2044436625576047, 0.8203229627762907),(0.20192466118696428, 0.8204402513468025),(0.2033996805663536, 0.824367333277805)
0048,(0.2678272649599909, 0.817376759631895),(0.26875628548905084, 0.8210658034607654),(0.26783178634284877, 0.8220071187783571),(0.2687972190907719, 0.8256885643914655)
0056,(0.42963263062547963, 0.8207452052121045),(0.4298803121880743, 0.8242584739716841),(0.42764847371046244, 0.825550554897371),(0.42791877020946245, 0.8290358556368571)
0064,(0.5701580073995447, 0.8211426356012492),(0.5703887093886895, 0.8249590924782733),(0.5698136451542517, 0.8260189196797945),(0.5700502763268611, 0.8297978139548245)
0072,(0.7218001962046072, 0.817097113979625),(0.7225237409649679, 0.821646689274155),(0.7224257305197881, 0.8196543960690357),(0.7231516818597543, 0.8241873731615579)
0080,(0.7816450809112008, 0.8127497602805074),(0.782683054331482, 0.8176844546827073),(0.7831194875759158, 0.8159694435981157),(0.784164386229337, 0.820888997306064)
0088,(3.2379892555860277, 3.499580373741411),(3.292763147914238, 3.5223140312792225),(0.7822098437786109, 0.7495515345167054),(0.7832725623600898, 0.7548992339295273)
0096,(0.7821848056125085, 0.5860892484111768),(0.7832019899444, 0.5918420884439839),(0.7817842037654656, 0.5870285176158043),(0.7828001650730994, 0.5927806140930092)
0104,(0.7740052168037472, 0.3845771977340682),(0.7746219230228066, 0.3892341733836515),(0.77873873939395, 0.44350718501106434),(0.7795216793778394, 0.4486879873183425)
0112,(1.4193147099415329, 0.5895976074281257),(1.4230135726819129, 0.5955648561683169),(0.7723615354624818, 0.2834627243881922),(0.7726208253423061, 0.2867760939264312)
0120,(1.4382578472536778, 0.5982200769117547),(1.4420993672354077, 0.6042624550644777),(0.7693471145692103, 0.21633861164589097),(0.7692992618203351, 0.21842029827184994)
0128,(0.7083002187953018, 0.21330530407813497),(0.7082607882877148, 0.2155647531596081),(0.7096696686396209, 0.2136642858137825),(0.7096314019667398, 0.21592610294423076)
0136,(0.5587542741237872, 0.20598669059102814),(0.5586275467994222, 0.20839810569868744),(0.559687241572091, 0.20933189073170366),(0.5595634924705646, 0.21179839107529141)
0144,(0.42734065982815883, 0.20676253568007041),(0.42699981191975533, 0.20901720839453053),(0.4255727563568228, 0.20876419192171558),(0.4252247689158586, 0.21104259493567712)
0152,(0.28239862313812214, 0.2116225767365918),(0.28162443206143273, 0.2131438107496606),(0.28198834030950337, 0.21301314225585433),(0.28120848920017405, 0.21455037651925668)
0160,(0.22644419102034608, 0.2169269744157709),(0.22542418326808678, 0.21796861091972142),(0.22539751823654885, 0.2183760264456529),(0.22436842531765278, 0.21942655370537967)
0168,(0.3229795160267521, 0.3034817924864639),(0.32218095809737113, 0.3063451737828313),(0.32240687042010663, 0.3046480654297328),(0.32160518736881905, 0.3075181971649019)
0176,(0.51992592377393, 0.4795850404541273),(0.519762128249285, 0.4842786161245707),(0.519866092526772, 0.4844091201948677),(0.519703348766789, 0.4891120070902357)
0184,(0.5473826059975488, 0.5084625018502693),(0.547326656878393, 0.5133057719571483),(0.5480250440207715, 0.5138003911315949),(0.5479730707939807, 0.5186517026072586)
0192,(0.5127816292179328, 0.5092599655064949),(0.5126016169777166, 0.5139706706953895),(0.5128728807731426, 0.5134605547378266),(0.512694707383647, 0.5181753338401824)
0200,(0.4387470427053337, 0.507697420398161),(0.4383307240276739, 0.5121054788252781),(0.4385009763061305, 0.5116472225032229),(0.43808685244765133, 0.5160578500063155)
0208,(0.3094747107626805, 0.4080330151989324),(0.308622188326229, 0.41152661344689534),(0.30864372888466063, 0.4106705015523904),(0.3077909469762288, 0.4141720982249084)
0216,(3.2379892555860277, 3.499580373741411),(3.292763147914238, 3.5223140312792225),(0.1777291344840788, 0.22444580754954702),(0.17644381484518723, 0.2249565916579357)
